supermercado,categoria_padre,subcategoria,categoria_padre_anterior,categoria_anterior,nombre,imagen_url,precio
alcampo,Frescos,Frutas,,,Kiwi amarillo ecológico 300 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/6ba01fd0-0bb3-47ef-96c0-af5f84e2c86e/300x300.jpg,
alcampo,Frescos,Frutas,,,Melocotones ecológicos 600 gr,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/3c1ce820-144a-4e8b-91ec-8b25f0e8088c/300x300.jpg,
alcampo,Frescos,Frutas,,,Smoothie energía INNOCENT 300 ml.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/60ba4ff9-4456-42ed-80c8-5fb7f685ace3/300x300.jpg,
alcampo,Frescos,Frutas,,,Melón amarillo,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/25e4919c-8664-4a92-9a81-1d6664fc40c9/300x300.jpg,
alcampo,Frescos,Frutas,,,Nectarinas ecológicas 600 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/592bab8d-c48d-47d8-8e14-e904c9cf3a09/300x300.jpg,
alcampo,Frescos,Frutas,,,AUCHAN Melón troceado 225 g. Producto Alcampo,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/61275cbb-30b1-42d3-963e-aa14b32fe177/300x300.jpg,
alcampo,Frescos,Frutas,,,Melón Premium ALCAMPO PRODUCCIÒN CONTROLADA,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/49b0914c-a7f9-4dbf-b0eb-6b7f096ce7a2/300x300.jpg,
alcampo,Frescos,Frutas,,,Granada fresca desgranada FRUTIFRESH 125 g,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/cc07d6a7-945f-4369-8680-fa10800dab2b/300x300.jpg,
alcampo,Frescos,Frutas,,,Sandía Foodie,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/aa718d7b-902f-4fa8-a66e-b465684b4633/300x300.jpg,
alcampo,Frescos,Frutas,,,"Melocotones rojos extra, bandeja de 600 g.",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/7955e3cb-ac9e-4763-b29c-508990e4639b/300x300.jpg,
alcampo,Frescos,Frutas,,,Cerezas de la montaña de Alicante 500 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/15cea07c-7313-47cf-9da4-90216cb6fc14/300x300.jpg,
alcampo,Frescos,Frutas,,,Plátano macho a granel,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/034c8c30-86d9-4b81-bd8c-16d8ba9bd8df/300x300.jpg,
alcampo,Frescos,Frutas,,,Albaricoques ecológicos 500 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/9d5c2f08-1ff8-4662-8c41-88b7b552f22e/300x300.jpg,
alcampo,Frescos,Frutas,,,"Smoothie de mango, goji y fruta de la pasión ALCAMPO GOURMET 250 ml.",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/387ba80a-b1ab-423f-84bd-af818e8a27f8/300x300.jpg,
alcampo,Frescos,Frutas,,,Melón piel de sapo,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/739c3fc8-9383-43ef-8e28-a12e2fbf7124/300x300.jpg,
alcampo,Frescos,Frutas,,,ALCAMPO CULTIVAMOS LO BUENO Pouch de manzana 2x100 g,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/3e28191d-62ca-4a48-aeb6-bed8cc9346c4/300x300.jpg,
alcampo,Frescos,Frutas,,,Melón de autor cortado GRAN SELECCIÓN,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/329422c1-6249-4d1d-b991-6ba26b210126/300x300.jpg,
alcampo,Frescos,Frutas,,,Plátano macho 600 gramos,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/34409116-cdb7-4d4a-b048-8cc748c50d7b/300x300.jpg,
alcampo,Frescos,Frutas,,,"Ciruela roja, cesta de 1 kg.",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/bea1e09d-ac1d-47bf-b052-89651a067454/300x300.jpg,
